m/z,Absolute Intensity,Relative Intensity
35,11,0
36,215,0.06
37,90,0.03
38,114,0.03
39,4058,1.15
40,2210,0.62
41,33289,9.41
42.05,8948,2.53
43,353860,100
44,10242,2.89
45,126353,35.71
46,2914,0.82
47.05,3309,0.94
48,47,0.01
49,142,0.04
50,158,0.04
50.8,298,0.08
52.05,355,0.1
53,7209,2.04
54,2446,0.69
55,34262,9.68
56,10982,3.1
57,45425,12.84
58,11226,3.17
59,16450,4.65
59.95,2493,0.7
61,884,0.25
62,142,0.04
63,138,0.04
64,44,0.01
65.05,1091,0.31
66,700,0.2
67.05,8675,2.45
68.05,4375,1.24
69.05,29256,8.27
70.05,12215,3.45
71.05,81653,23.07
72.05,12718,3.59
73,22338,6.31
74.05,13702,3.87
75.05,29008,8.2
76,1065,0.3
77,1980,0.56
78.05,491,0.14
79.05,3215,0.91
80.05,1377,0.39
81.05,21615,6.11
82.05,6156,1.74
83.05,20317,5.74
84.05,7442,2.1
85.05,48770,13.78
86.05,4345,1.23
87,85118,24.05
88.05,23353,6.6
89.05,25438,7.19
90.05,1128,0.32
91.05,1768,0.5
92.05,470,0.13
93.05,2283,0.65
94.1,1505,0.43
95.05,12847,3.63
96.1,7476,2.11
97.1,23092,6.53
98.05,12353,3.49
99.05,28607,8.08
100.15,3646,1.03
101.05,314143,88.78
102.05,37654,10.64
103.05,5052,1.43
104.05,537,0.15
105,1238,0.35
105.95,272,0.08
107.1,1628,0.46
108.05,1000,0.28
109.1,7879,2.23
110.1,4260,1.2
111.1,17623,4.98
112.1,4342,1.23
113.05,49606,14.02
114.05,6269,1.77
115.05,8223,2.32
116.05,1650,0.47
117.05,174042,49.18
118.05,10494,2.97
119.05,9414,2.66
120.1,937,0.26
121.1,2105,0.59
122.15,842,0.24
123.15,4553,1.29
124.1,3354,0.95
125.15,11954,3.38
126.15,3372,0.95
127.15,5836,1.65
128.15,1307,0.37
129.05,176859,49.98
130.05,14293,4.04
131.05,23083,6.52
132.05,1462,0.41
133.05,2340,0.66
134.05,629,0.18
135.1,2692,0.76
136.15,1239,0.35
137.15,3354,0.95
138.1,1524,0.43
139.15,5811,1.64
140.15,2052,0.58
141.15,4228,1.19
142.1,4050,1.14
143.1,6682,1.89
144.1,1657,0.47
145.1,154812,43.75
146.1,12041,3.4
147.1,2745,0.78
148.15,604,0.17
149.1,2684,0.76
150.1,1009,0.29
151.1,2756,0.78
152.15,1483,0.42
153.1,2434,0.69
154.15,1139,0.32
155.2,2561,0.72
156.15,613,0.17
157.05,2543,0.72
158.15,236,0.07
159.1,1068,0.3
160.15,1762,0.5
161.05,151941,42.94
162.05,12196,3.45
163.05,2909,0.82
164.05,682,0.19
165.15,1793,0.51
166.1,1108,0.31
167.15,1469,0.42
168.15,866,0.24
169.15,1665,0.47
170.05,326,0.09
171.05,666,0.19
172.05,493,0.14
173,4265,1.21
174.05,788,0.22
175.1,2127,0.6
176.05,602,0.17
177,1246,0.35
178.15,601,0.17
179.1,1308,0.37
180.15,646,0.18
181.2,1071,0.3
182.15,1041,0.29
183.05,1279,0.36
184.1,130,0.04
185.1,222,0.06
186.1,105,0.03
187.1,130,0.04
188,114,0.03
189.05,1115,0.32
190.05,865,0.24
190.95,22636,6.4
192,4142,1.17
193,3486,0.99
194.15,878,0.25
195.1,820,0.23
196.1,858,0.24
197.2,686,0.19
198.2,198,0.06
199.2,95,0.03
201.15,485,0.14
202,186,0.05
203,1026,0.29
204.05,930,0.26
205,46084,13.02
205.95,4823,1.36
206.95,6104,1.72
208,1622,0.46
209,1172,0.33
210.1,1167,0.33
211.15,1142,0.32
211.9,188,0.05
212.9,470,0.13
213.9,27,0.01
214.9,233,0.07
216.1,78,0.02
217.05,1064,0.3
218.05,302,0.09
219.05,963,0.27
220.15,354,0.1
221.1,1041,0.29
222.05,728,0.21
223,2999,0.85
224.05,1314,0.37
225.1,1250,0.35
226,265,0.07
227,105,0.03
228,172,0.05
229,242,0.07
230,124,0.04
231.1,398,0.11
232.1,1502,0.42
233.15,745,0.21
234.15,839,0.24
235.05,711,0.2
236.15,408,0.12
237.2,514,0.15
238.15,412,0.12
239.2,866,0.24
240.2,249,0.07
241.2,114,0.03
242.2,10,0
243.2,162,0.05
244,146,0.04
245,681,0.19
246.3,354,0.1
247.2,417,0.12
248.15,868,0.25
249.15,785,0.22
250.2,1146,0.32
251.15,884,0.25
252.15,1050,0.3
253.2,570,0.16
254.2,153,0.04
256.2,62,0.02
257.2,114,0.03
258.2,122,0.03
259.2,143,0.04
260.2,212,0.06
261.2,105,0.03
262.15,208,0.06
263.1,503,0.14
264.05,527,0.15
264.95,2647,0.75
266.05,1103,0.31
267,1406,0.4
267.95,387,0.11
268.9,122,0.03
269.9,39,0.01
270.9,108,0.03
271.9,27,0.01
272.9,65,0.02
273.9,161,0.05
274.9,105,0.03
275.9,26,0.01
276.9,146,0.04
277.9,146,0.04
278.9,26,0.01
280,118,0.03
280.95,1411,0.4
281.85,415,0.12
283.05,336,0.09
284,124,0.04
286,52,0.01
287,108,0.03
288,19,0.01
289,44,0.01
290,113,0.03
291,34,0.01
292,10,0
293,84,0.02
294,62,0.02
295,39,0.01
296,92,0.03
297,150,0.04
298,36,0.01
299,71,0.02
300,82,0.02
302,11,0
303,102,0.03
304,52,0.01
305,16,0
306,90,0.03
307,34,0.01
309,185,0.05
310,127,0.04
311,58,0.02
312,33,0.01
313,164,0.05
314,11,0
315,14,0
316,87,0.02
317,63,0.02
319,105,0.03
320,49,0.01
322,39,0.01
323,105,0.03
323.9,39,0.01
324.9,943,0.27
325.95,409,0.12
326.85,1706,0.48
327.8,578,0.16
328.85,510,0.14
329.8,214,0.06
330.8,46,0.01
332.8,98,0.03
333.8,42,0.01
335.8,73,0.02
336.8,73,0.02
338.8,132,0.04
339.9,58,0.02
340.9,2473,0.7
341.95,918,0.26
342.9,705,0.2
343.9,151,0.04
344.9,116,0.03
345.9,90,0.03
347.9,5,0
348.9,78,0.02
349.9,30,0.01
351.9,86,0.02
352.9,46,0.01
355.05,463,0.13
356,222,0.06
357,92,0.03
358,116,0.03
359,68,0.02
361,36,0.01
362,89,0.03
364,8,0
365,92,0.03
366,11,0
367,6,0
368,70,0.02
369,29,0.01
371,89,0.03
372,97,0.03
373,6,0
374,78,0.02
375,92,0.03
377,3,0
378,68,0.02
379,3,0
381,94,0.03
382,58,0.02
383,73,0.02
384,95,0.03
385,108,0.03
386,29,0.01
387,66,0.02
388,118,0.03
389,6,0
390,46,0.01
391,81,0.02
394,68,0.02
395,29,0.01
397,92,0.03
398,60,0.02
399,137,0.04
400,95,0.03
